KEGG ID,ms1,formula1,ms2,formula2,trans,pmd
R00301,744.0833,C21H29N7O17P3,178.0477,C6H10O6,C-15H-19N-7O-11P-3,-566.0356
R00301,180.0634,C6H12O6,178.0477,C6H10O6,H-2,-2.0157
R00302,180.0634,C6H12O6,178.0477,C6H10O6,H-2,-2.0157
R00303,260.0297,C6H13O9P,180.0634,C6H12O6,H-1O-3P-1,-79.9663
R00304,260.0297,C6H13O9P,180.0634,C6H12O6,H-1O-3P-1,-79.9663
R00305,180.0634,C6H12O6,178.0477,C6H10O6,H-2,-2.0157
R00306,342.1162,C12H22O11,180.0634,C6H12O6,C-6H-10O-5,-162.0528
R00307,180.0634,C6H12O6,180.0634,C6H12O6,,0
R00310,562.258,C34H34N4O4,616.1773,C34H32FeN4O4,Fe1H-2,53.9193
R00311,616.1773,C34H32FeN4O4,582.2478,C33H34N4O6,C-1Fe-1H2O2,-33.9295
R00315,506.9957,C10H16N5O13P3,427.0294,C10H15N5O10P2,H-1O-3P-1,-79.9663
R00316,506.9957,C10H16N5O13P3,389.0736,C12H16N5O8P,C2O-5P-2,-117.9221
R00322,389.0736,C12H16N5O8P,347.0631,C10H14N5O7P,C-2H-2O-1,-42.0105
R00327,222.074,C8H14O7,180.0634,C6H12O6,C-2H-2O-1,-42.0106
R00328,443.0243,C10H15N5O11P2,363.058,C10H14N5O8P,H-1O-3P-1,-79.9663
R00330,506.9957,C10H16N5O13P3,522.9907,C10H16N5O14P3,O1,15.995
R00330,443.0243,C10H15N5O11P2,427.0294,C10H15N5O10P2,O-1,-15.9949
R00331,506.9957,C10H16N5O13P3,427.0294,C10H15N5O10P2,H-1O-3P-1,-79.9663
R00332,506.9957,C10H16N5O13P3,443.0243,C10H15N5O11P2,H-1O-2P-1,-63.9714
R00332,363.058,C10H14N5O8P,427.0294,C10H15N5O10P2,H1O2P1,63.9714
R00333,347.0631,C10H14N5O7P,427.0294,C10H15N5O10P2,H1O3P1,79.9663
R00334,506.9957,C10H16N5O13P3,427.0294,C10H15N5O10P2,H-1O-3P-1,-79.9663
R00335,522.9907,C10H16N5O14P3,443.0243,C10H15N5O11P2,H-1O-3P-1,-79.9664
R00336,602.957,C10H17N5O17P4,443.0243,C10H15N5O11P2,H-2O-6P-2,-159.9327
R00337,605.0772,C16H25N5O16P2,443.0243,C10H15N5O11P2,C-6H-10O-5,-162.0529
R00339,150.0164,C4H6O6,132.0059,C4H4O5,H-2O-1,-18.0105
R00340,150.0164,C4H6O6,132.0059,C4H4O5,H-2O-1,-18.0105
R00341,506.9957,C10H16N5O13P3,427.0294,C10H15N5O10P2,H-1O-3P-1,-79.9663
R00341,132.0059,C4H4O5,167.9824,C3H5O6P,C-1H1O1P1,35.9765
R00342,664.1169,C21H28N7O14P2,132.0059,C4H4O5,C-17H-24N-7O-9P-2,-532.111
R00342,134.0215,C4H6O5,132.0059,C4H4O5,H-2,-2.0156
R00343,744.0833,C21H29N7O17P3,132.0059,C4H4O5,C-17H-25N-7O-12P-3,-612.0774
R00343,134.0215,C4H6O5,132.0059,C4H4O5,H-2,-2.0156
